City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hastings,50.8552,0.5729,17.86,24,29,6.01,GB,1687737521
1,port-aux-francais,-49.35,70.2167,1.98,99,100,13.48,TF,1687737521
2,bukama,-9.2,25.85,18.05,52,6,1.08,CD,1687737521
3,bethel,41.3712,-73.414,26.47,77,6,1.73,US,1687737427
4,carupano,10.6678,-63.2585,26.38,85,14,4.33,VE,1687737521
5,whitehorse,60.7161,-135.0538,21.68,35,75,7.72,CA,1687737521
6,ayorou,14.7308,0.9174,27.99,64,87,2.35,NE,1687737522
7,pandan,14.0453,124.1694,28.58,71,94,1.2,PH,1687737522
8,punta arenas,-53.15,-70.9167,1.06,100,100,5.66,CL,1687737522
9,ushuaia,-54.8,-68.3,1.81,87,100,6.69,AR,1687737522
10,hermanus,-34.4187,19.2345,12.67,89,100,7.17,ZA,1687737522
11,stanley,54.868,-1.6985,13.21,92,20,3.09,GB,1687737522
12,margaret river,-33.95,115.0667,7.57,79,37,2.8,AU,1687737522
13,puerto natales,-51.7236,-72.4875,-0.43,96,100,2.5,CL,1687737522
14,jamestown,42.097,-79.2353,26.8,61,75,3.6,US,1687737281
15,bilibino,68.0546,166.4372,19.32,42,82,1.79,RU,1687737523
16,waitangi,-43.9535,-176.5597,13.23,84,100,4.47,NZ,1687737523
17,prado,-17.3411,-39.2208,22.05,85,100,2.18,BR,1687737523
18,adamstown,-25.066,-130.1015,22.52,84,75,7.03,PN,1687737523
19,kapuskasing,49.4169,-82.4331,17.05,63,100,3.6,CA,1687737523
20,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.0,GF,1687737523
21,nar'yan-mar,67.6713,53.087,8.04,70,82,4.76,RU,1687737523
22,hithadhoo,-0.6,73.0833,27.87,74,100,4.46,MV,1687737523
23,longyearbyen,78.2186,15.6401,4.91,81,75,3.09,SJ,1687737523
24,erdenet,49.0333,104.0833,13.57,74,100,1.81,MN,1687737524
25,iqaluit,63.7506,-68.5145,7.85,70,75,6.17,CA,1687737524
26,albany,42.6001,-73.9662,25.4,83,32,1.92,US,1687737524
27,bredasdorp,-34.5322,20.0403,12.13,94,100,5.16,ZA,1687737524
